2025-10-17 14:27:07,GS칼텍스 주유소,28240,2346
2025-10-19 10:04:36,현대백화점 무역센터점,37740,51
2025-10-20 10:06:58,키즈카페 별나라,11180,2346
2025-10-21 9:17:34,피아노학원 리듬,27920,51
2025-10-22 12:28:44,신세계백화점 강남,69100,51
2025-10-23 10:44:50,영어학원 스피킹업,33810,2346
2025-10-24 13:58:36,롯데호텔,121760,13
2025-10-25 13:28:17,쿠팡,13350,51
2025-10-26 9:55:01,현대백화점 무역센터점,30930,51
2025-10-26 11:13:30,키즈카페 별나라,11040,2346
2025-10-28 14:15:33,영어학원 스피킹업,33370,2346
2025-10-30 13:50:20,피아노학원 리듬,27610,51
2025-10-30 16:16:32,롯데마트,39670,13
2025-10-31 10:04:15,현대백화점 무역센터점,30440,51
2025-10-31 12:20:56,홍콩반점,6750,2346
2025-10-31 14:15:33,영어학원 스피킹업,32840,2346
2025-10-31 19:15:37,크린토피아,8820,51
